시도,시구군,본부,사업소,충전소ID,충전소명,주소,충전기ID,충전기명,용도,충전기용량,충전방식,충전기구분,충전량,충전시간,충전분,충전종료일자,충전시작시각,충전종료시각
강원도,강릉시,강원,강릉,5492,강원지방기상청,"강원도 강릉시 사천면 과학단지로 130 (방동리, 강원지방기상청)",12201,급속02,공용,100,AC완속(5핀),급속,1.81,0,23,20231107,2023.11.7 6:09,2023.11.7 6:32
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12247,급속04,공용,100,DC콤보,급속,25.16,0,49,20231107,2023.11.7 6:24,2023.11.7 7:13
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12246,급속03,공용,100,DC콤보,급속,8.76,0,12,20231107,2023.11.7 6:38,2023.11.7 6:51
강원도,강릉시,강원,강릉,2392,강릉 교동2차현대아파트,"강원도 강릉시 교동광장로 138-13 (교동, 교동 2차 현대아파트)",6555,완속01,아파트용,7,AC완속(5핀),완속,38.45,5,46,20231107,2023.11.7 6:39,2023.11.7 12:26
강원도,강릉시,강원,강릉,2104,송정동주민센터,강원도 강릉시 송정동 161-2,5953,급속01,공용,50,DC차데모,급속,31.06,0,47,20231107,2023.11.7 6:53,2023.11.7 7:40
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12246,급속03,공용,100,DC콤보,급속,4.74,0,5,20231107,2023.11.7 6:54,2023.11.7 7:00
강원도,강릉시,강원,강릉,847,강릉금호어울림,강원도 강릉시 성덕로 328-15,9823,완속06,아파트용,7,AC완속(5핀),완속,10.47,1,31,20231107,2023.11.7 7:12,2023.11.7 8:43
강원도,강릉시,강원,강릉,2434,교1동주민센터,"강원도 강릉시 하슬라로 173 (교동, 교1동주민센터)",6672,급속01,공용,50,DC차데모,급속,12.3,0,58,20231107,2023.11.7 7:14,2023.11.7 8:12
강원도,강릉시,강원,강릉,2102,강원양돈농협 하나로마트,강원도 강릉시 솔올로 9 (교동),5951,급속01,공용,50,DC차데모,급속,7.76,0,11,20231107,2023.11.7 7:19,2023.11.7 7:31
강원도,강릉시,강원,강릉,2439,교2동주민센터,"강원도 강릉시 율곡로 2974 (교동, 교2동주민센터)",6677,급속01,공용,50,DC차데모,급속,23.23,0,53,20231107,2023.11.7 7:40,2023.11.7 8:33
강원도,강릉시,강원,강릉,2436,홍제동 공영주차장,강원도 강릉시 홍제동 157,6674,급속01,공용,50,DC차데모,급속,12.07,0,39,20231107,2023.11.7 7:47,2023.11.7 8:26
강원도,강릉시,강원,강릉,2105,이마트 강릉점,강원도 강릉시 송정동 612-11,5955,급속02,공용,50,DC차데모,급속,36.81,0,52,20231107,2023.11.7 8:59,2023.11.7 9:52
강원도,강릉시,강원,강릉,4285,입암6주공아파트,"강원도 강릉시 성덕포남로 39 (입암동, 입암6주공아파트)",10427,완속01,아파트용,7,AC완속(5핀),완속,11.11,1,36,20231107,2023.11.7 9:13,2023.11.7 10:49
강원도,강릉시,강원,동해,2112,옥계면사무소,강원도 강릉시 옥계면 현내시장길 30,5963,급속01,공용,50,DC차데모,급속,14.01,0,43,20231107,2023.11.7 9:15,2023.11.7 9:59
강원도,강릉시,강원,강릉,847,강릉금호어울림,강원도 강릉시 성덕로 328-15,9818,완속01,아파트용,7,AC완속(5핀),완속,2.95,0,25,20231107,2023.11.7 9:37,2023.11.7 10:03
강원도,강릉시,강원,강릉,2107,해람중학교옆 공영주차장,강원도 강릉시 명주로35번길 5 (용강동),5958,급속01,공용,50,DC차데모,급속,33.25,0,48,20231107,2023.11.7 10:04,2023.11.7 10:52
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12246,급속03,공용,100,DC콤보,급속,62.61,0,59,20231107,2023.11.7 11:02,2023.11.7 12:02
강원도,강릉시,강원,강릉,2103,성덕동주민센터,강원도 강릉시 성덕포남로 115 (입암동),5952,급속01,공용,50,DC차데모,급속,17.72,1,0,20231107,2023.11.7 11:12,2023.11.7 12:12
강원도,강릉시,강원,강릉,42,강릉특별지사,강원도 강릉시 강릉대로 563 (포남동),79,완속02,업무용,7,AC완속(5핀),완속,4.07,0,40,20231107,2023.11.7 11:14,2023.11.7 11:55
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12247,급속04,공용,100,DC콤보,급속,7.85,0,53,20231107,2023.11.7 11:15,2023.11.7 12:09
강원도,강릉시,강원,동해,2112,옥계면사무소,강원도 강릉시 옥계면 현내시장길 30,5963,급속01,공용,50,DC차데모,급속,4.66,0,13,20231107,2023.11.7 11:44,2023.11.7 11:57
강원도,강릉시,강원,강릉,4970,강원도환동해본부,"강원도 강릉시 주문진읍 주문로 14 (교항리, 강원도환동해본부)",11342,급속01,공용,100,DC콤보,급속,38.03,1,21,20231107,2023.11.7 11:58,2023.11.7 13:19
강원도,강릉시,강원,동해,2112,옥계면사무소,강원도 강릉시 옥계면 현내시장길 30,5963,급속01,공용,50,DC차데모,급속,7.39,0,17,20231107,2023.11.7 12:02,2023.11.7 12:19
강원도,강릉시,강원,강릉,2438,주문진해수욕장,강원도 강릉시 주문진읍 주문북로 210 (향호리),6676,급속01,공용,50,DC차데모,급속,7.83,0,9,20231107,2023.11.7 12:09,2023.11.7 12:19
강원도,강릉시,강원,강릉,847,강릉금호어울림,강원도 강릉시 성덕로 328-15,9820,완속03,아파트용,7,AC완속(5핀),완속,23.86,3,43,20231107,2023.11.7 12:27,2023.11.7 16:10
강원도,강릉시,강원,강릉,4970,강원도환동해본부,"강원도 강릉시 주문진읍 주문로 14 (교항리, 강원도환동해본부)",11343,급속02,공용,100,AC완속(5핀),급속,50.59,0,35,20231107,2023.11.7 12:27,2023.11.7 13:02
강원도,강릉시,강원,강릉,5492,강원지방기상청,"강원도 강릉시 사천면 과학단지로 130 (방동리, 강원지방기상청)",12200,급속01,공용,100,AC완속(5핀),급속,44.75,0,30,20231107,2023.11.7 12:31,2023.11.7 13:02
강원도,강릉시,강원,강릉,2438,주문진해수욕장,강원도 강릉시 주문진읍 주문북로 210 (향호리),6676,급속01,공용,50,DC차데모,급속,0.87,0,1,20231107,2023.11.7 12:42,2023.11.7 12:43
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12247,급속04,공용,100,DC콤보,급속,35.47,0,25,20231107,2023.11.7 12:54,2023.11.7 13:20
강원도,강릉시,강원,강릉,2433,녹색도시체험센터,강원도 강릉시 운정동 484,6670,급속02,공용,50,DC차데모,급속,21.18,1,0,20231107,2023.11.7 13:10,2023.11.7 14:10
강원도,강릉시,강원,강릉,2435,허균허난설헌기념공원,"강원도 강릉시 난설헌로193번길 1-15 (초당동, 초희전통차체험관)",6673,급속01,공용,50,DC콤보,급속,42.65,1,0,20231107,2023.11.7 13:17,2023.11.7 14:17
강원도,강릉시,강원,강릉,5493,(고속도로)구정휴게소 동해방향,강원도 강릉시 구정면 동해고속도로 345 (제비리),12206,급속04,공용,100,AC완속(5핀),급속,29.86,0,41,20231107,2023.11.7 13:23,2023.11.7 14:05
강원도,강릉시,강원,강릉,2107,해람중학교옆 공영주차장,강원도 강릉시 명주로35번길 5 (용강동),5958,급속01,공용,50,DC차데모,급속,29.85,1,0,20231107,2023.11.7 13:26,2023.11.7 14:27
강원도,강릉시,강원,강릉,2436,홍제동 공영주차장,강원도 강릉시 홍제동 157,6674,급속01,공용,50,DC차데모,급속,43.54,1,0,20231107,2023.11.7 13:28,2023.11.7 14:28
강원도,강릉시,강원,강릉,2433,녹색도시체험센터,강원도 강릉시 운정동 484,6669,급속01,공용,50,DC콤보,급속,1.39,0,2,20231107,2023.11.7 13:31,2023.11.7 13:33
강원도,강릉시,강원,강릉,2433,녹색도시체험센터,강원도 강릉시 운정동 484,6669,급속01,공용,50,DC콤보,급속,42.07,1,0,20231107,2023.11.7 13:34,2023.11.7 14:34
강원도,강릉시,강원,강릉,5510,강릉아이스아레나 주차장,"강원도 강릉시 수리골길 102 (포남동, 강릉아레나)",12247,급속04,공용,100,DC콤보,급속,37.02,1,1,20231107,2023.11.7 13:48,2023.11.7 14:50
강원도,강릉시,강원,강릉,3716,강원도교육연수원,"강원도 강릉시 강릉대로587번길 42 (초당동, 강원도교육연수원)",9437,급속01,공용,50,DC차데모,급속,34.7,0,48,20231107,2023.11.7 13:49,2023.11.7 14:37
강원도,강릉시,강원,강릉,2101,강릉축협 하나로마트,강원도 강릉시 용지로 20 (입암동),5950,급속01,공용,50,DC차데모,급속,15.42,0,51,20231107,2023.11.7 14:07,2023.11.7 14:58
강원도,강릉시,강원,강릉,4971,강원영동병무지청,"강원도 강릉시 율곡로 2705 (노암동, 강원영동병무지청)",12199,급속01,공용,100,AC완속(5핀),급속,16.64,0,22,20231107,2023.11.7 14:21,2023.11.7 14:44
강원도,강릉시,강원,강릉,3638,LH선수촌8단지아파트,강원도 강릉시 선수촌로 113 (LH선수촌8단지아파트),9054,완속03,아파트용,7,AC완속(5핀),완속,5.85,1,5,20231107,2023.11.7 14:31,2023.11.7 15:37
