설치년도,시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 화부산로8번길 37,강릉제일고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.760119,128.889686"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 화부산로8번길 37,강릉제일고등학교,교육문화시설,학교,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.760119,128.889686"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 용지로 19,입암현대아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.752441,128.911661"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 용지로 19,입암현대아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.752441,128.911661"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 용지로 19,입암현대아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.752441,128.911661"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 용지로 19,입암현대아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.752441,128.911661"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 용지로 19,입암현대아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.752441,128.911661"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 용지로 19,입암현대아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.752441,128.911661"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 연당길 61,초당세양청마루아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.7832,128.915532"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 연당길 61,초당세양청마루아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.7832,128.915532"
2023,강원특별자치도,강릉시,강원특별자치도 강릉시 연당길 61,초당세양청마루아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.7832,128.915532"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 주문로 59,에스엘강릉,상업시설,숙박시설,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.8892140,128.8254360"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 주문로 59,에스엘강릉,상업시설,숙박시설,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.8892140,128.8254360"
2024,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 주문로 59,에스엘강릉,상업시설,숙박시설,완속,AC완속,타기관,LG유플러스,,AC완속,이용자제한,"37.8892140,128.8254360"
